설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
인계,경기도,수원시,경기도 수원시 팔달구 경수대로 471 (인계동),경기도 수원시 팔달구 인계동 978,37.26825866,127.0267519,접이식그늘막,인계사거리(남동쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
인계,경기도,수원시,경기도 수원시 팔달구 경수대로 477 (인계동),경기도 수원시 팔달구 인계동 967-2,37.26885647,127.0269716,접이식그늘막,인계사거리(북서쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
인계주공,경기도,수원시,경기도 수원시 팔달구 인계로 143 (인계동),경기도 수원시 팔달구 인계동 465-2,37.26722271,127.033562,접이식그늘막,인계주공사거리(우체국 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
인계주공,경기도,수원시,경기도 수원시 팔달구 권광로 213 (인계동),경기도 수원시 팔달구 인계동 1037-2,37.26665613,127.0332794,접이식그늘막,인계주공사거리(기업은행 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
시청역,경기도,수원시,,경기도 수원시 팔달구 인계동 1125-1,37.26098912,127.0322672,접이식그늘막,시청역사거리(갤러리아 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
권선구,경기도,수원시,경기도 수원시 권선구 당진로 13 (당수동),경기도 수원시 권선구 당수동 242-4,37.2903092,126.9402367,접이식그늘막,권선구 당진로 13 건너편(당수초등학교 방향),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
서수원GS자이,경기도,수원시,,경기도 수원시 권선구 입북동 239-1,37.29527775,126.9626724,접이식그늘막,서수원GS자이 104동쪽 사거리 북동방향(교통섬),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
가락공판장,경기도,수원시,,경기도 수원시 권선구 당수동 158-4,37.29147761,126.9404383,접이식그늘막,가락공판장쪽 사거리 남동방향,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
삼거리 서수원자이아파트,경기도,수원시,,경기도 수원시 권선구 입북동 261-3,37.29631815,126.9587812,접이식그늘막,삼거리 서수원자이아파트 방향,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
서수원자이아파트,경기도,수원시,경기도 수원시 권선구 입북로 49-2 (입북동),경기도 수원시 권선구 입북동 265,37.2962947,126.9585253,접이식그늘막,서수원자이아파트 방향 횡단보도,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
교동,경기도,수원시,,경기도 수원시 팔달구 매교동 4-1,37.27206629,127.0163102,접이식그늘막,교동사거리 교통섬,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
매산로,경기도,수원시,경기도 수원시 팔달구 매산로 37 (매산로2가),경기도 수원시 팔달구 매산로2가 40-13,37.2685253,127.005423,접이식그늘막,매산사거리(매산동행정복지센터),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
매산로,경기도,수원시,경기도 수원시 팔달구 매산로 32 (매산로2가),경기도 수원시 팔달구 매산로2가 65-5,37.26787475,127.0052438,접이식그늘막,매산사거리(홍익),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
매산로,경기도,수원시,경기도 수원시 팔달구 갓매산로 38 (매산로2가),경기도 수원시 팔달구 매산로2가 62-7,37.26787906,127.0056539,접이식그늘막,매산사거리(다성프라자),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
매산로,경기도,수원시,경기도 수원시 팔달구 팔달로 4-1 (매산로1가),경기도 수원시 팔달구 매산로1가 111,37.26965235,126.9993703,접이식그늘막,육교사거리,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
수원여고,경기도,수원시,경기도 수원시 팔달구 고등로59번길 72 (고등동),경기도 수원시 팔달구 고등동 19-1,37.27683591,127.004355,접이식그늘막,수원여고 앞,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
화서 SC 제일은행,경기도,수원시,경기도 수원시 팔달구 동말로 88 (고등동),경기도 수원시 팔달구 고등동 6-2,37.2786957,127.0041312,접이식그늘막,화서사거리 SC 제일은행,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
화서문로터리,경기도,수원시,경기도 수원시 팔달구 장안로 3 (화서동),경기도 수원시 팔달구 화서동 20-2,37.28542206,127.0069439,접이식그늘막,화서문로터리(화서동 20-2 앞),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
화서문로터리,경기도,수원시,,경기도 수원시 팔달구 화서동 26-40,37.2850777,127.0076548,접이식그늘막,화서문로터리(화서공원 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
화서동 농협,경기도,수원시,경기도 수원시 팔달구 동말로 84 (화서동),경기도 수원시 팔달구 화서동 71-53,37.2786984,127.0032537,접이식그늘막,화서사거리 농협,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
화서 다이소,경기도,수원시,경기도 수원시 팔달구 팔달로 116 (화서동),경기도 수원시 팔달구 화서동 71-117,37.27896093,127.0040212,접이식그늘막,화서사거리 다이소,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
팔달구 고화로 147-1 특별방범기동순찰대,경기도,수원시,경기도 수원시 팔달구 고화로 147-1 (화서동),경기도 수원시 팔달구 화서동 57-1,37.28255526,127.0063975,접이식그늘막,팔달구 고화로 147-1 특별방범기동순찰대,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
화서동,경기도,수원시,경기도 수원시 팔달구 화산로6번길 6 (화서동),경기도 수원시 팔달구 화서동 689-1,37.28508836,126.9862062,접이식그늘막,꽃뫼사거리(화서2동센터 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
화서동,경기도,수원시,,경기도 수원시 팔달구 화서동 689-15,37.28471034,126.9866967,접이식그늘막,꽃뫼사거리(동남쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
화서동,경기도,수원시,,경기도 수원시 팔달구 화서동 703-8,37.28434216,126.9851681,접이식그늘막,꽃뫼사거리(남서쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
화서역삼거리,경기도,수원시,"경기도 수원시 팔달구 덕영대로697번길 48 (화서동, 화서주공아파트)",경기도 수원시 팔달구 화서동 650,37.28454429,126.9919725,접이식그늘막,화서역삼거리(주공아파트 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
화서역삼거리,경기도,수원시,경기도 수원시 팔달구 덕영대로 692 (화서동),경기도 수원시 팔달구 화서동 464,37.28489367,126.9891996,접이식그늘막,화서역삼거리(화서역 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
율현초교삼거리,경기도,수원시,경기도 수원시 팔달구 일월로22번길 60 (화서동),경기도 수원시 팔달구 화서동 729,37.28612119,126.9826535,접이식그늘막,율현초교삼거리(녹색),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
율현초교삼거리,경기도,수원시,,경기도 수원시 팔달구 화서동 731,37.28724286,126.9819806,접이식그늘막,율현초교삼거리(율현초교 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
화서동,경기도,수원시,경기도 수원시 팔달구 수성로 192 (화서동),경기도 수원시 팔달구 화서동 357-5,37.28728348,126.9940571,접이식그늘막,고양삼거리(화서동 357-5 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
화서동,경기도,수원시,"경기도 수원시 팔달구 덕영대로697번길 47 (화서동, 화서3단지주공아파트)",경기도 수원시 팔달구 화서동 646,37.28590151,126.9931075,접이식그늘막,308동 맞은편,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
율현초교삼거리,경기도,수원시,,경기도 수원시 팔달구 화서동 731,37.28724286,126.9819806,접이식그늘막,"율현초교삼거리(황새말공원 쪽, 흰색)",,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
수원화서동문굿모닝힐아파트,경기도,수원시,경기도 수원시 팔달구 화양로67번길 3 (화서동),경기도 수원시 팔달구 화서동 279-4,37.28384438,126.9956544,접이식그늘막,수원화서동문굿모닝힐아파트정문앞횡단보도(화서동 279-4 맞은편),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
권선고,경기도,수원시,"경기도 수원시 권선구 매탄로 11 (권선동, 현대아파트)",경기도 수원시 권선구 권선동 1240,37.25343514,127.0377487,접이식그늘막,권선고사거리(현대문구 앞),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
권선동 성당,경기도,수원시,경기도 수원시 권선구 권선로 693 (권선동),경기도 수원시 권선구 권선동 1020-9,37.25941041,127.0272433,접이식그늘막,횡단보도 부근,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
농수산시장,경기도,수원시,경기도 수원시 권선구 권선로 724 (권선동),경기도 수원시 권선구 권선동 1026-6,37.2580687,127.0301883,접이식그늘막,농수산시장사거리 남서방향,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
권선동 성당,경기도,수원시,경기도 수원시 권선구 권광로 82 (권선동),경기도 수원시 권선구 권선동 1041-4,37.25514566,127.0295627,접이식그늘막,권선동 성당 앞 교통섬,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
권선동,경기도,수원시,경기도 수원시 권선구 권선로 782 (권선동),경기도 수원시 권선구 권선동 1171-4,37.25638199,127.0363958,접이식그늘막,곡선사거리 남서방향,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
LG전자서비스센터,경기도,수원시,경기도 수원시 권선구 경수대로 270 (권선동),경기도 수원시 권선구 권선동 1189,37.25018811,127.0207006,접이식그늘막,LG전자서비스센터 맞은편(경수대로 270),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
터미널,경기도,수원시,경기도 수원시 권선구 경수대로 270 (권선동),경기도 수원시 권선구 권선동 1189,37.25018811,127.0207006,접이식그늘막,터미널사거리(남동쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
터미널,경기도,수원시,경기도 수원시 권선구 경수대로 270 (권선동),경기도 수원시 권선구 권선동 1189,37.25018811,127.0207006,접이식그늘막,터미널사거리(북동쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
권선동,경기도,수원시,경기도 수원시 권선구 덕영대로 1290 (권선동),경기도 수원시 권선구 권선동 162-4,37.24638212,127.0312679,접이식그늘막,권곡사거리(신동아대원아파트 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
권선동,경기도,수원시,경기도 수원시 권선구 덕영대로 1290 (권선동),경기도 수원시 권선구 권선동 162-4,37.24638212,127.0312679,접이식그늘막,권곡사거리(명성교회 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
아이파크시티9단지,경기도,수원시,"경기도 수원시 권선구 동수원로177번길 90 (권선동, 수원아이파크시티9단지)",경기도 수원시 권선구 권선동 1362,37.24736727,127.0271043,접이식그늘막,아이파크시티9단지앞(선일초교 맞은편),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
신촌삼거리,경기도,수원시,,경기도 수원시 권선구 권선동 1356-4,37.23760102,127.0250249,접이식그늘막,신촌삼거리(한림도서관앞),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
세류동 1155-9,경기도,수원시,경기도 수원시 권선구 경수대로 195 (세류동),경기도 수원시 권선구 세류동 1155-8,37.24468816,127.0171584,접이식그늘막,세류동 1155-9(세류동 맥도날드DT) 맞은편,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
세류동,경기도,수원시,경기도 수원시 권선구 경수대로 330 (권선동),경기도 수원시 권선구 권선동 1058,37.25596055,127.0222374,접이식그늘막,세권사거리(대원타일상사 앞),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
세류문화길삼거리,경기도,수원시,,경기도 수원시 권선구 권선동 1224,37.25403705,127.0208902,접이식그늘막,세류문화길삼거리(한양아파트 앞),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
세류문화길삼거리,경기도,수원시,,경기도 수원시 권선구 권선동 1224,37.25403705,127.0208902,접이식그늘막,세류문화길삼거리(신명아파트 앞),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
온수골 벽산아파트,경기도,수원시,,경기도 수원시 권선구 권선동 1271,37.25032046,127.0337021,접이식그늘막,온수골사거리 벽산아파트 방향,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
권선동,경기도,수원시,,경기도 수원시 권선구 권선동 212-8,37.23938878,127.0277968,접이식그늘막,하고렴사거리 북서방향,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
곡정초등학교,경기도,수원시,,경기도 수원시 권선구 권선동 1367-10,37.24022625,127.0256386,접이식그늘막,곡정초등학교 정문,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
권선동,경기도,수원시,경기도 수원시 권선구 덕영대로 1290 (권선동),경기도 수원시 권선구 권선동 162-4,37.246338,127.0312679,접이식그늘막,권곡사거리(원룸밀집지역 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
권선동,경기도,수원시,경기도 수원시 권선구 덕영대로 1290 (권선동),경기도 수원시 권선구 권선동 162-4,37.24638212,127.0312679,접이식그늘막,권곡사거리(우남1차아파트 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
신촌삼거리,경기도,수원시,"경기도 수원시 권선구 동수원로58번길 21 (곡반정동, 한솔아파트)",경기도 수원시 권선구 곡반정동 579,37.23579054,127.0267427,접이식그늘막,신촌삼거리(한림도서관건너편),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
곡반정동,경기도,수원시,,경기도 수원시 권선구 곡반정동 559-1,37.2395265,127.0282384,접이식그늘막,하고렴사거리 북동방향,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
온수골,경기도,수원시,경기도 수원시 권선구 동수원로224번길 32-1 (권선동),경기도 수원시 권선구 권선동 1318,37.24909044,127.0355678,접이식그늘막,온수골사거리 북동방향,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
권선고,경기도,수원시,,경기도 수원시 권선구 권선동 1281,37.2507967,127.0341891,접이식그늘막,권선고사거리 남동방향,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
곡반정동,경기도,수원시,,경기도 수원시 권선구 곡반정동 528,37.24273543,127.0320648,접이식그늘막,상고렴사거리 북동방향,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
곡반정동,경기도,수원시,,경기도 수원시 권선구 곡반정동 529-9,37.24273318,127.0304499,접이식그늘막,상고렴사거리 남동방향,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
한화비발디아파트,경기도,수원시,"경기도 수원시 권선구 당진로31번길 16 (당수동, 한라비발디아파트 2단지)",경기도 수원시 권선구 당수동 742,37.29214781,126.9401594,접이식그늘막,201동 앞,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
광남2동-61,경기도,광주시,,경기도 광주시 태전동 702-17,37.3797259430,127.2308069939,접이식그늘막,한아람 초등학교 후문 앞 삼거리(힐스11단지 쪽),2022,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-62,경기도,광주시,경기도 광주시 벼루개길42번길 22 (태전동),경기도 광주시 태전동 722,37.3808430970,127.2331855300,접이식그늘막,힐스 에듀포레 11단지 정문 맞은편(e편한 1차쪽),2022,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-63,경기도,광주시,,경기도 광주시 태전동 716,37.3811688401,127.2310230861,접이식그늘막,한아람 초등학교 공원 앞 사거리,2022,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-64,경기도,광주시,,경기도 광주시 태전동 700-9,37.3831271842,127.2338234203,접이식그늘막,힐스6단지 앞 사거리 (아이파크 대각선맞은편),2022,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-65,경기도,광주시,,경기도 광주시 태전동 708,37.3821158096,127.2309996882,접이식그늘막,한아람 초등학교 공원 앞 사거리,2022,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-66,경기도,광주시,,경기도 광주시 태전동 701-3,37.3863817037,127.2341913782,접이식그늘막,태전고등학교 앞 사거리,2022,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-67,경기도,광주시,경기도 광주시 태전중앙1길 5 (태전동),경기도 광주시 태전동 87-94,37.3821080726,127.2285055207,접이식그늘막,태전 퍼스트힐 상가 앞,2022,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-68,경기도,광주시,,경기도 광주시 태전동 697-12,37.3876299399,127.2334,접이식그늘막,태전2편한 3단지 정문 건너편,2022,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-69,경기도,광주시,,경기도 광주시 태전동 697-12,37.3876299399,127.2334949633,접이식그늘막,태전2편한 3단지 정문,2022,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-70,경기도,광주시,,경기도 광주시 태전동 701-1,37.3847861707,127.2334,접이식그늘막,태전고 아래쪽 횡단보도,2022,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-71,경기도,광주시,,경기도 광주시 태전동 701-1,37.3847861707,127.233414,접이식그늘막,태전고 아래쪽 횡단보도 건너편(에그드랍),2022,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-72,경기도,광주시,,경기도 광주시 태전동 699-4,37.3840008035,127.2320215026,접이식그늘막,힐스테이트 1514동 앞 시계탑 앞,2022,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-73,경기도,광주시,,경기도 광주시 태전동 699-4,37.3840008035,127.2320215026,접이식그늘막,힐스테이트 힐스테이트 1515동 앞,2022,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-74,경기도,광주시,"경기도 광주시 태봉로 110 (태전동, 태전아이파크)",경기도 광주시 태전동 91-2,37.3838418680,127.2294481984,접이식그늘막,태전아이파크 앞(1),2023,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-75,경기도,광주시,"경기도 광주시 태봉로 110 (태전동, 태전아이파크)",경기도 광주시 태전동 91-2,37.3838418680,127.2294481984,접이식그늘막,태전아이파크 앞(2),2023,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-76,경기도,광주시,,경기도 광주시 태전동 702-17,37.3797259430,127.2308069939,접이식그늘막,한아람마을 8단지 1612동 횡단보고 건너편,2023,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-77,경기도,광주시,,경기도 광주시 태전동 731,37.3791661066,127.2326085466,접이식그늘막,힐스테이트태전2차 에듀포레 2104동 앞,2023,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-78,경기도,광주시,,경기도 광주시 태전동 704-6,37.3786462669,127.2244933342,접이식그늘막,한양프라자 프리미엄 골프아카데미 앞,2023,3.5,3,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-79,경기도,광주시,,경기도 광주시 태전동 692-3,37.3859159484,127.229413,접이식그늘막,우림필유 208동 앞,2023,3.5,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-80,경기도,광주시,,경기도 광주시 태전동 706,37.3812288155,127.2334855709,접이식그늘막,에듀포레 2101동 앞,2023,3,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-81,경기도,광주시,,경기도 광주시 태전동 706,37.3812288155,127.2334855709,접이식그늘막,에듀포레 2101동 건너편,2023,3,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-82,경기도,광주시,,경기도 광주시 태전동 697-12,37.3876299399,127.2334949633,접이식그늘막,E편한 2차 102동 앞,2023,3,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-83,경기도,광주시,,경기도 광주시 태전동 697-12,37.3876299399,127.2334949633,접이식그늘막,E편한 2차 302동 앞,2023,3,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-84,경기도,광주시,경기도 광주시 태봉로 51 (태전동),경기도 광주시 태전동 251-16,37.3887622065,127.2296715288,접이식그늘막,,2024,3,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-85,경기도,광주시,,경기도 광주시 태전동 259-26,37.388845,127.2335518499,접이식그늘막,,2024,3,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-86,경기도,광주시,,경기도 광주시 태전동 259-26,37.3888386,127.2335518499,접이식그늘막,,2024,3,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
광남2동-87,경기도,광주시,,경기도 광주시 태전동 706,37.3812288155,127.2334855709,접이식그늘막,,2024,3,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
오포1동-1,경기도,광주시,,경기도 광주시 고산동 354,37.3754869557,127.2292404676,접이식그늘막,고산하늘초 앞 횡단보도(1),2023,3,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
오포1동-2,경기도,광주시,,경기도 광주시 고산동 354,37.3754869557,127.2292404676,접이식그늘막,고산하늘초 앞 횡단보도(2),2023,3,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
오포1동-3,경기도,광주시,,경기도 광주시 고산동 354,37.3754869557,127.2292404676,접이식그늘막,고산하늘초 앞 횡단보도(3),2023,3,4,경기도 광주시청,031-760-8691,2024-11-27,5540000,경기도 광주시
호매실동행정복지센터,경기도,수원시,"경기도 수원시 권선구 호매실로218번길 111 (호매실동, 호매실마을13단지)",경기도 수원시 권선구 호매실동 1371,37.26552551,126.9582106,접이식그늘막,호매실동행정복지센터 앞 사거리(동남쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
